id,json_body,trade_time_int
139,"{""last"":273850,""bid"":273871,""ask"":274093,""high"":276000,""low"":263200,""volume"":""10355.15448075"",""timestamp"":1496143935}",20170530203222
140,"{""last"":273923,""bid"":273924,""ask"":274039,""high"":276000,""low"":263200,""volume"":""10353.68627081"",""timestamp"":1496143944}",20170530203232
141,"{""last"":273923,""bid"":273938,""ask"":273984,""high"":276000,""low"":263200,""volume"":""10354.3490765"",""timestamp"":1496143955}",20170530203242
142,"{""last"":273923,""bid"":273937,""ask"":273984,""high"":276000,""low"":263200,""volume"":""10354.03874231"",""timestamp"":1496143964}",20170530203252
143,"{""last"":273889,""bid"":273889,""ask"":273900,""high"":276000,""low"":263200,""volume"":""10353.01311565"",""timestamp"":1496143974}",20170530203302
144,"{""last"":273889,""bid"":273886,""ask"":273889,""high"":276000,""low"":263200,""volume"":""10352.63861565"",""timestamp"":1496143984}",20170530203312
145,"{""last"":273899,""bid"":273886,""ask"":273899,""high"":276000,""low"":263200,""volume"":""10352.43231565"",""timestamp"":1496143997}",20170530203322
146,"{""last"":273900,""bid"":273886,""ask"":273900,""high"":276000,""low"":263200,""volume"":""10353.27441565"",""timestamp"":1496144006}",20170530203332
147,"{""last"":273886,""bid"":273877,""ask"":273886,""high"":276000,""low"":263200,""volume"":""10352.86115565"",""timestamp"":1496144014}",20170530203342
148,"{""last"":273874,""bid"":273875,""ask"":273900,""high"":276000,""low"":263200,""volume"":""10353.42445565"",""timestamp"":1496144024}",20170530203353
149,"{""last"":273900,""bid"":273886,""ask"":273900,""high"":276000,""low"":263200,""volume"":""10353.01668222"",""timestamp"":1496144034}",20170530203403
150,"{""last"":273900,""bid"":273886,""ask"":273900,""high"":276000,""low"":263200,""volume"":""10351.66005222"",""timestamp"":1496144044}",20170530203413
151,"{""last"":274064,""bid"":273876,""ask"":274077,""high"":276000,""low"":263200,""volume"":""10352.05069059"",""timestamp"":1496144055}",20170530203423
152,"{""last"":274032,""bid"":273964,""ask"":274019,""high"":276000,""low"":263200,""volume"":""10352.88280059"",""timestamp"":1496144064}",20170530203433
153,"{""last"":273994,""bid"":274046,""ask"":274087,""high"":276000,""low"":263200,""volume"":""10352.51892059"",""timestamp"":1496144075}",20170530203443
154,"{""last"":274045,""bid"":274001,""ask"":274045,""high"":276000,""low"":263200,""volume"":""10352.27182556"",""timestamp"":1496144087}",20170530203453
155,"{""last"":274045,""bid"":274003,""ask"":274045,""high"":276000,""low"":263200,""volume"":""10352.43506515"",""timestamp"":1496144097}",20170530203503
156,"{""last"":274100,""bid"":274044,""ask"":274100,""high"":276000,""low"":263200,""volume"":""10353.19778515"",""timestamp"":1496144106}",20170530203513
157,"{""last"":274098,""bid"":274098,""ask"":274101,""high"":276000,""low"":263200,""volume"":""10352.52968515"",""timestamp"":1496144117}",20170530203523
158,"{""last"":274096,""bid"":274100,""ask"":274101,""high"":276000,""low"":263200,""volume"":""10351.98321135"",""timestamp"":1496144126}",20170530203533
159,"{""last"":274094,""bid"":274062,""ask"":274088,""high"":276000,""low"":263200,""volume"":""10351.27120866"",""timestamp"":1496144136}",20170530203543
160,"{""last"":274071,""bid"":274059,""ask"":274062,""high"":276000,""low"":263200,""volume"":""10351.63399814"",""timestamp"":1496144146}",20170530203553
161,"{""last"":274100,""bid"":274073,""ask"":274100,""high"":276000,""low"":263200,""volume"":""10351.87513378"",""timestamp"":1496144156}",20170530203603
162,"{""last"":274071,""bid"":274082,""ask"":274087,""high"":276000,""low"":263200,""volume"":""10351.97081758"",""timestamp"":1496144165}",20170530203613
163,"{""last"":274111,""bid"":274098,""ask"":274119,""high"":276000,""low"":263200,""volume"":""10352.31874758"",""timestamp"":1496144179}",20170530203623
164,"{""last"":274119,""bid"":274109,""ask"":274132,""high"":276000,""low"":263200,""volume"":""10351.54081758"",""timestamp"":1496144187}",20170530203634
