id,json_body,trade_time_int,pair
154,"{""rate"":""263073.5""}",20170529123808,btc_jpy
155,"{""rate"":""263406.0""}",20170529123819,btc_jpy
156,"{""rate"":""263523.0""}",20170529123829,btc_jpy
157,"{""rate"":""263778.5""}",20170529123839,btc_jpy
158,"{""rate"":""263583.5""}",20170529123849,btc_jpy
159,"{""rate"":""263890.0""}",20170529123859,btc_jpy
160,"{""rate"":""263989.5""}",20170529123909,btc_jpy
161,"{""rate"":""264137.0""}",20170529123919,btc_jpy
162,"{""rate"":""264098.5""}",20170529123929,btc_jpy
163,"{""rate"":""263896.5""}",20170529123939,btc_jpy
164,"{""rate"":""263830.5""}",20170529123949,btc_jpy
165,"{""rate"":""263954.0""}",20170529123959,btc_jpy
166,"{""rate"":""263933.5""}",20170529124009,btc_jpy
167,"{""rate"":""263998.5""}",20170529124019,btc_jpy
168,"{""rate"":""263996.0""}",20170529124029,btc_jpy
169,"{""rate"":""263854.5""}",20170529124039,btc_jpy
170,"{""rate"":""263877.5""}",20170529124049,btc_jpy
171,"{""rate"":""263807.5""}",20170529124059,btc_jpy
172,"{""rate"":""263628.5""}",20170529124110,btc_jpy
173,"{""rate"":""263747.5""}",20170529124120,btc_jpy
174,"{""rate"":""263507.5""}",20170529124130,btc_jpy
175,"{""rate"":""263209.5""}",20170529124140,btc_jpy
176,"{""rate"":""263212.0""}",20170529124150,btc_jpy
177,"{""rate"":""263202.0""}",20170529124200,btc_jpy
178,"{""rate"":""263202.0""}",20170529124210,btc_jpy
179,"{""rate"":""263139.5""}",20170529124220,btc_jpy
180,"{""rate"":""263206.0""}",20170529124230,btc_jpy
181,"{""rate"":""263434.0""}",20170529124240,btc_jpy
182,"{""rate"":""263516.0""}",20170529124250,btc_jpy
183,"{""rate"":""263474.5""}",20170529124300,btc_jpy
184,"{""rate"":""263382.0""}",20170529124310,btc_jpy
185,"{""rate"":""263357.5""}",20170529124320,btc_jpy
186,"{""rate"":""263431.5""}",20170529124330,btc_jpy
187,"{""rate"":""263439.0""}",20170529124340,btc_jpy
188,"{""rate"":""263305.0""}",20170529124350,btc_jpy
189,"{""rate"":""263229.5""}",20170529124400,btc_jpy
190,"{""rate"":""263118.0""}",20170529124410,btc_jpy
191,"{""rate"":""263373.0""}",20170529124421,btc_jpy
192,"{""rate"":""263468.0""}",20170529124431,btc_jpy
193,"{""rate"":""263540.0""}",20170529124441,btc_jpy
194,"{""rate"":""263436.5""}",20170529124451,btc_jpy
195,"{""rate"":""263222.5""}",20170529124501,btc_jpy
196,"{""rate"":""263221.5""}",20170529124511,btc_jpy
197,"{""rate"":""263222.0""}",20170529124521,btc_jpy
198,"{""rate"":""263313.0""}",20170529124531,btc_jpy
199,"{""rate"":""263383.5""}",20170529124541,btc_jpy
200,"{""rate"":""263390.5""}",20170529124551,btc_jpy
201,"{""rate"":""263295.0""}",20170529124601,btc_jpy
202,"{""rate"":""263036.0""}",20170529124611,btc_jpy
